35,Cal Poly,30,10,20,0.33299999999999996,-3.49,0.9,4,12,5,7,3,12,2171,2255,1220,755,1812,0.41700000000000004,238,681,0.349,423,626,0.6759999999999999,352,1095,425,163,96,309,602,,67.8,104.9,0.345,0.376,0.515,49.8,56.3,7.9,8.2,0.48200000000000004,12.8,30.2,0.233,,67.8,109.0,0.38299999999999995,0.318,0.555,50.2,57.4,7.3,8.8,0.522,13.8,27.9,0.266,
36,Cal State Bakersfield,33,24,9,0.727,2.58,-5.15,11,3,14,1,7,7,2405,2104,1330,875,1939,0.451,179,524,0.342,476,726,0.6559999999999999,410,1263,516,263,165,404,707,,68.4,105.8,0.374,0.27,0.527,52.8,59.0,11.6,14.2,0.49700000000000005,15.0,34.4,0.245,,68.4,92.5,0.423,0.34299999999999997,0.49700000000000005,47.2,48.7,7.8,7.6,0.451,19.1,28.9,0.29100000000000004,
37,Cal State Fullerton,30,10,20,0.33299999999999996,-7.12,-0.76,3,13,5,8,5,9,2104,2227,1205,698,1703,0.41,193,582,0.332,515,743,0.693,335,1116,304,147,48,392,610,,70.0,99.8,0.436,0.342,0.512,50.5,43.6,7.0,4.5,0.467,16.0,29.8,0.302,,70.0,105.6,0.379,0.386,0.5379999999999999,49.5,58.0,7.7,10.5,0.49700000000000005,14.2,28.2,0.27699999999999997,
38,Cal State Northridge,30,10,20,0.33299999999999996,-6.85,-0.85,5,11,5,7,4,12,2143,2261,1225,745,1723,0.43200000000000005,126,425,0.29600000000000004,527,735,0.7170000000000001,303,1086,423,203,96,419,604,,71.3,98.1,0.42700000000000005,0.247,0.517,48.6,56.8,9.3,7.9,0.469,16.8,27.4,0.306,,71.3,103.5,0.34700000000000003,0.331,0.535,51.4,57.8,9.0,8.7,0.504,16.4,30.8,0.237,
39,UC-Davis,30,11,19,0.36700000000000005,-5.58,-1.26,6,10,8,7,3,11,1914,1980,1225,697,1608,0.433,164,463,0.354,356,557,0.639,255,1033,342,186,49,427,531,,67.1,93.1,0.34600000000000003,0.28800000000000003,0.511,49.4,49.1,9.0,4.5,0.484,18.6,25.1,0.221,,67.1,96.3,0.302,0.37,0.506,50.6,57.9,10.8,9.0,0.47100000000000003,17.3,27.6,0.21600000000000003,
40,UC-Irvine,38,28,10,0.737,5.33,0.77,13,3,11,2,13,5,2706,2512,1535,977,2128,0.45899999999999996,241,652,0.37,511,752,0.68,362,1416,568,217,198,471,706,,67.7,104.2,0.353,0.306,0.544,51.7,58.1,8.4,14.2,0.516,15.9,28.2,0.24,,67.7,96.7,0.337,0.369,0.49,48.3,62.6,7.9,6.3,0.445,14.7,27.7,0.247,
41,UC-Riverside,33,14,19,0.424,-5.66,-3.08,5,11,7,9,7,9,2299,2300,1320,788,1839,0.428,252,716,0.35200000000000004,471,670,0.703,328,1164,410,170,101,433,654,,68.7,101.5,0.364,0.389,0.5329999999999999,50.6,52.0,7.5,7.9,0.49700000000000005,16.7,28.7,0.256,,68.7,101.5,0.38299999999999995,0.313,0.523,49.4,53.8,9.2,10.2,0.48100000000000004,15.1,27.7,0.27399999999999997,
42,UC-Santa Barbara,33,19,14,0.5760000000000001,3.79,1.44,11,5,6,5,10,6,2335,2219,1325,859,1944,0.442,251,697,0.36,366,522,0.701,341,1235,496,195,98,419,647,,68.4,103.0,0.26899999999999996,0.359,0.5329999999999999,51.2,57.7,8.6,9.1,0.506,16.0,28.9,0.188,,68.4,97.9,0.40700000000000003,0.415,0.505,48.8,55.7,7.5,7.6,0.462,15.5,27.6,0.281,
43,University of California,34,23,11,0.6759999999999999,15.39,7.87,12,6,18,0,4,7,2545,2289,1375,890,1931,0.461,236,651,0.363,529,806,0.6559999999999999,379,1349,430,139,159,415,706,,68.3,108.4,0.41700000000000004,0.337,0.55,54.5,48.3,5.9,10.9,0.522,15.2,32.2,0.27399999999999997,,68.3,97.5,0.375,0.265,0.489,45.5,46.8,7.3,7.8,0.44299999999999995,12.3,25.2,0.265,
44,Campbell,30,12,18,0.4,-11.07,-6.67,5,13,7,9,5,8,2207,2203,1205,744,1671,0.445,224,675,0.332,495,690,0.7170000000000001,242,967,345,214,72,353,582,,70.0,104.7,0.413,0.40399999999999997,0.552,46.6,46.4,10.2,6.2,0.512,15.0,23.3,0.29600000000000004,,70.0,104.5,0.38,0.315,0.546,53.4,45.6,8.5,7.6,0.516,16.7,30.2,0.257,
